X, Y, T, Action
1.99961, 1.5422, -1.61688, GoToPosition
1.99834, 1.52469, -1.6726, GoAhead
1.99723, 1.51495, -1.67221, GoToPosition
1.99511, 1.49542, -1.67221, TurnToAngle
1.99358, 1.48083, -1.67174, Turn
1.99035, 1.44995, -1.6714, TurnToAngle
1.98562, 1.41274, -1.63215, Turn
1.98253, 1.38364, -1.59155, GoToPosition
1.9806, 1.2913, -1.46679, GoToPosition
1.98199, 1.27655, -1.46447, GoAhead
1.98199, 1.27655, -1.46453, GoToPosition
1.9836, 1.262, -1.46467, GoToPosition
1.98726, 1.22813, -1.4647, Turn
1.9888, 1.21361, -1.46469, GoToPosition
1.9888, 1.21361, -1.46469, GoToPosition
1.99163, 1.18876, -1.46991, TurnToAngle
1.9956, 1.16053, -1.50613, Turn
1.99874, 1.13198, -1.54592, GoToPosition
2.00146, 1.06448, -1.63918, GoAhead
1.99751, 1.00715, -1.67394, TurnToAngle
1.99599, 0.992657, -1.67388, Turn
1.99447, 0.978121, -1.67386, Turn
1.99096, 0.949005, -1.61967, GoToPosition
1.98707, 0.919844, -1.5796, GoAhead
1.98435, 0.890545, -1.52652, GoAhead
1.98254, 0.827394, -1.4939, GoAhead
1.9849, 0.793166, -1.49187, GoAhead
1.9876, 0.759174, -1.49202, GoToPosition
1.98991, 0.730043, -1.49202, GoToPosition
1.99106, 0.715447, -1.49202, GoAhead
1.99258, 0.696038, -1.49201, GoToPosition
1.99372, 0.681496, -1.49204, GoToPosition
1.99488, 0.666896, -1.49204, GoAhead
1.99641, 0.6475, -1.49204, GoToPosition
1.99756, 0.632878, -1.49204, GoAhead
1.99756, 0.632878, -1.49204, GoAhead
2.00024, 0.598881, -1.49202, GoAhead
2.00292, 0.564891, -1.49202, GoAhead
2.00444, 0.545491, -1.492, GoToPosition
2.00674, 0.516315, -1.49203, GoAhead
2.00826, 0.496924, -1.49203, GoAhead
2.01056, 0.467802, -1.49203, GoToPosition
2.01208, 0.448356, -1.49206, GoAhead
2.01322, 0.433788, -1.49207, GoToPosition
2.01437, 0.419212, -1.49204, GoAhead
2.01591, 0.399809, -1.49204, GoToPosition
2.01706, 0.385256, -1.49207, GoAhead
2.01822, 0.370645, -1.49206, GoAhead
2.01937, 0.356068, -1.49209, GoToPosition
2.02166, 0.326941, -1.49209, GoToPosition
2.02318, 0.307523, -1.49207, GoAhead
2.02433, 0.292981, -1.49206, GoToPosition
2.02549, 0.278403, -1.49207, GoAhead
2.02664, 0.263823, -1.49208, GoToPosition
2.02894, 0.234695, -1.49208, GoAhead
2.02894, 0.234695, -1.49208, GoToPosition
2.03009, 0.220119, -1.50554, GoToPosition
2.03144, 0.206198, -1.50554, GoToPosition
2.04054, 0.172458, -1.74157, GoToPosition
2.03949, 0.161257, -1.76185, TurnToAngle
2.0366, 0.146837, -1.76158, Turn
2.03375, 0.132466, -1.76159, Turn
2.03375, 0.132466, -1.76145, GoToPosition
2.02436, 0.0895305, -1.73383, Turn
2.02436, 0.0895305, -1.73383, Turn
